"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
2.460000000E1,5.324990579E-1,3.222424907E-2,1.997370810E-3
2.470000000E1,5.490106566E-1,2.277002723E-2,5.592638268E-3
2.480000000E1,5.412874895E-1,2.370213361E-2,7.989483240E-4
2.490000000E1,5.327653741E-1,2.117213059E-2,1.331580540E-4
2.500000000E1,5.328985321E-1,2.956108799E-2,9.454221834E-3
2.510000000E1,5.265069455E-1,2.769687523E-2,-3.195793296E-3
2.520000000E1,5.343632707E-1,2.316950140E-2,-6.657902700E-4
2.530000000E1,5.203816750E-1,2.410160777E-2,6.391586592E-3
2.540000000E1,4.976116478E-1,3.222424907E-2,-1.065264432E-3
2.550000000E1,4.731105659E-1,2.277002723E-2,-3.861583566E-3
2.560000000E1,5.117264015E-1,1.504686010E-2,7.989483240E-4
2.570000000E1,5.740443708E-1,3.315635545E-2,1.717738897E-2
